"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 21 00:35:56 YEKT 2020","Sat Nov 21 00:35:58 YEKT 2020","1699","test","test_add_contact_to_group","","","","test_add_contact",""
"passed","Sat Nov 21 00:41:19 YEKT 2020","Sat Nov 21 00:41:21 YEKT 2020","2217","test","test_remove_contact_from_group","","","","test_remove_contact_from_group",""
"passed","Sat Nov 21 00:39:13 YEKT 2020","Sat Nov 21 00:39:13 YEKT 2020","692","test","test_del_contact","","","","test_del_some_contact",""
"passed","Sat Nov 21 00:36:23 YEKT 2020","Sat Nov 21 00:36:24 YEKT 2020","1252","test","test_add_group","","","","test_add_group[None: name~; header 0Ag^5! |i(VW$; footerV#v3 hu\. ]",""
"passed","Sat Nov 21 00:36:27 YEKT 2020","Sat Nov 21 00:36:28 YEKT 2020","1248","test","test_add_group","","","","test_add_group[None: namepmFB; header K=&Ym; footerIw81mb U%%RiV5|(U]",""
"passed","Sat Nov 21 00:35:07 YEKT 2020","Sat Nov 21 00:35:10 YEKT 2020","2723","test","test_add_contact","","","","test_add_contact[None:firstnameKFz lastnamei ZStsmdU]",""
"passed","Sat Nov 21 00:36:28 YEKT 2020","Sat Nov 21 00:36:30 YEKT 2020","1273","test","test_add_group","","","","test_add_group[None: nameKG@/ r(; headerd<2LTZ$; footerH0j,kJejbzU6]",""
"passed","Sat Nov 21 00:36:26 YEKT 2020","Sat Nov 21 00:36:27 YEKT 2020","1308","test","test_add_group","","","","test_add_group[None: name u1 {; headerB; footer&h:1P6 (]",""
"passed","Sat Nov 21 00:38:41 YEKT 2020","Sat Nov 21 00:38:42 YEKT 2020","548","test","test_db_matches_ui","","","","test_group_list",""
"passed","Sat Nov 21 00:35:10 YEKT 2020","Sat Nov 21 00:35:13 YEKT 2020","2448","test","test_add_contact","","","","test_add_contact[None:firstnameF J lastnameZ5Omzr]",""
"failed","Sat Nov 21 00:37:51 YEKT 2020","Sat Nov 21 00:37:52 YEKT 2020","927","test","test_contacts","","","","test_contact_on_home_page",""
"passed","Sat Nov 21 00:35:14 YEKT 2020","Sat Nov 21 00:35:16 YEKT 2020","2453","test","test_add_contact","","","","test_add_contact[None:firstnameKO lastname7lr ]",""
"passed","Sat Nov 21 00:36:24 YEKT 2020","Sat Nov 21 00:36:26 YEKT 2020","1287","test","test_add_group","","","","test_add_group[None: nameN=c+SG; header /<tjBz+)&""; footer8Rb?AtM 9uA>XpP*V ]",""
"passed","Sat Nov 21 00:35:20 YEKT 2020","Sat Nov 21 00:35:23 YEKT 2020","2459","test","test_add_contact","","","","test_add_contact[None:firstname lastnamepow]",""
"passed","Sat Nov 21 00:40:43 YEKT 2020","Sat Nov 21 00:40:45 YEKT 2020","1808","test","test_edit_group","","","","test_edit_some_group",""
"passed","Sat Nov 21 00:35:17 YEKT 2020","Sat Nov 21 00:35:19 YEKT 2020","2600","test","test_add_contact","","","","test_add_contact[None:firstnamet lastname]",""
"passed","Sat Nov 21 00:39:41 YEKT 2020","Sat Nov 21 00:39:42 YEKT 2020","802","test","test_del_group","","","","test_delete_group",""
"passed","Sat Nov 21 00:35:04 YEKT 2020","Sat Nov 21 00:35:06 YEKT 2020","2472","test","test_add_contact","","","","test_add_contact[None: ]",""
"passed","Sat Nov 21 00:36:21 YEKT 2020","Sat Nov 21 00:36:23 YEKT 2020","1602","test","test_add_group","","","","test_add_group[None: ; ; ]",""
"passed","Sat Nov 21 00:40:11 YEKT 2020","Sat Nov 21 00:40:14 YEKT 2020","2645","test","test_edit_contact","","","","test_edit_contact",""
